Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Gender motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city
South Korea,Martial law protests,24-Dec,Free,"On the night of December 3, President Yoon Suk-yeol declared martial law in the country, accusing the opposition party, the Democractic Party of Korea, of engaging in anti-state activities and threatening the state of democracy.","Express anger over Yoon's declaration of martial law, which many viewed as a severe overreach of authority and an attempted self-coup. Demand the end of martial law and call for Yoon's impeachment and arrest.",">100,000","General public, opposition",Active,"On December 4, only a few hours after Yoon's announcement, 190 legislators gathered at the National Assembly and unanimously voted to lift martial law, which Yoon and his cabinet subsequently agreed to. The National Assembly voted to impeach Yoon on December 14 and Prime Minister (and acting president) Han Duck-soo on December 27th. On December 31, the Seoul Western District Court granted an arrest warrant against Yoon.",X,,X,,,Hundreds of thousands,X,X,,,,Seoul
China,Protest against company law,24-Nov,Not Free,"A new company law allowed companies to target former shareholders for unpaid sums, even after they had transferred their shares. The Supreme People's Court ruled that former shareholders were also liable for unpaid sums after bankruptcy.","Express anger over new company law and court ruling, which brought concerns over potential liabilities after cashing out of investments. Growing economic discontent throughout the country.",">1,000",General public,1-2 weeks (approx.),"The legislative affairs commission in the National People's Congress announced that they would soften the conditions of the company law and urge courts to take appropriate measures. The commission also stated that the law would not apply to shareholders who had sold out before July 2024, when the law had taken effect.",,X,,,,Thousands,X,,,,,Beijing
Georgia,Pro-EU accession protests,24-Nov,Partly Free,The newly elected Georgian government announced on November 28 that it would suspend accession talks with the EU until 2028. The decision was announced amid ongoing protests against the recent parliamentary elections.,"Express anger over the suspension of EU accession talks. (EU accession is widely popular amongst Georgians, and is even included in the Georgian constitution.) Continuation of 2024 election protests; protesters are also calling for new parliamentary elections.",">10,000",General public,Active,"No policy/leadership change. More than 400 protesters were arrested, many of whom were reportedly abused or tortured while in custody.",X,,X,,,Tens of thousands,,,,,,Tbilisi
India,Mosque survey protest,24-Nov,Partly Free,"A local court in Sambhal ordered an archaeological survey of the the Shahi Jama Masjid, a mosque in Sambhal, after hearing a petition that claimed the mosque was built on the site of a destroyed Hindu temple.","Ongoing tensions between Hindu nationalist groups and Muslims. Muslims groups in Sambhal oppose the survey, claiming that the court proceedings were hurried and that they had not received any prior notice.",>100,Muslims,1 day,"No policy/leadership change. Five people died from injuries sustained during clashes between protesters and police forces. Although protesters maintain that the police were responsible for the five deaths, the police have denied these claims.",,,,,,Hundreds,,,X,,,New Delhi
Romania,Anti-Georgescu protests,24-Nov,Free,"Călin Georgescu, a far-right presidential candidate, won the first round of Romania's presidential elections.","Denounce Georgescu for his extremism, which includes antisemitic and pro-Russian/anti-NATO views. Accuse Georgescu of being a fascist or a fascist sympathizer.",">1,000","General public, youth",2 weeks,"On December 4, the Supreme Council of National Defense declassified documents regarding alleged election interference. On December 6, the Constitutional Court annulled the elections entirely. New presidential elections are set to be held in May 2025.",,,X,,,Thousands,,,,,,Bucharest
India,Protest against Gautam Adani,24-Nov,Partly Free,"Gautam Adani, an Indian billionaire businessman, was indicted in the United States for allegedly defrauding investors and bribing Indian government officials.",Demand Adani's immediate arrest and a parliamentary investigation into his companies. Accuse Prime Minister Narendra Modi and the Bharatiya Janata Party of shielding Adani against potential investigations.,>100,Opposition,1 month,No policy/leadership change.,,,,X,,Hundreds,,,,,,New Delhi
Türkiye,Protest against gender-based violence,24-Nov,Not Free,International Day for the Elimination of Violence. More than 400 women have been murdered in Türkiye in 2024.,Denounce gender-based violence.,>100,Women,1 day,No policy/leadership change. Dozens of protesters were arrested.,,,,,X,Hundreds,,,,,,Ankara
France,Protest against gender-based violence,24-Nov,Free,"International Day for the Elimination of Violence. Pelicot mass rape trial, which had drawn public attention starting September 2024.","Denounce gender-based violence and defend reproductive rights. Show solidarity with Gisèle Pelicot, the victim of the Pelicot rape case.",">80,000","Women's rights organizations, women",1 day,No policy/leadership change.,,,,,X,Tens of thousands,,,,,,Paris
Italy,Protest against gender-based violence,24-Nov,Free,International Day for the Elimination of Violence.,Denounce gender-based violence.,">1,000","Women's rights organizations, women",1 day,No policy/leadership change.,,,,,X,Thousands,,,,,,Rome
Greece,Strike against high cost of living,24-Nov,Free,Rising food and housing prices.,Express discontent over high cost of living and low wages. Call for the government to raise public sector wages and more effectively combat inflation.,">10,000","Unions for public and private sector workers (e.g., transportation, education, healthcare)",1 day,No policy/leadership change.,,X,,,,Tens of thousands,,,,,,Athens
United Kingdom,Inheritance tax protest,24-Nov,Free,"Rachel Reeves, the Chancellor of the Exchequer (finance minister), presented major budget reforms to Parliament in October 2024. One of the reforms proposed a 20 percent inheritance tax for farms worth more than 1 million pounds. Since 1992, farms have been exempt from inheritance taxes under the agricultural property relief scheme.","Express anger over the proposed inheritance tax, which farmers say will put severe financial pressure on family farms and force them to sell land or farming assets. Express frustration with government for not understanding the financial struggles of rural farming communities, particularly since Brexit.",">10,000","Farmers, National Farmers’ Union (NFU)",Active,No policy/leadership change. Both Reeves and Prime Minister Keir Starmer have reaffirmed their commitment to the proposed budget.,X,X,,,,Tens of thousands,,,,,,London
Slovakia,Anti-Fico protest,24-Nov,Free,Thirty-fifth anniversary of the Velvet Revolution.,"Show opposition to the policies of Prime Minister Robert Fico, which protesters see as a threat to Slovakia's democracy. Call for opposition to protect freedom and democracy.",">10,000",Opposition,1 day,No policy/leadership change.,,,X,,,Tens of thousands,,,,,,Bratislava
South Korea,Protest against Lee Jae-myung's conviction,24-Nov,Free,"Lee Jae-myung, the leader of the Democratic Party of Korea and a presidential candidate in the 2022 elections, was convicted of violating the Public Official Election Act and sentenced to a suspended prison term.","Show support for Lee and criticize the conviction, which protesters believe is politically motivated.",">10,000",Opposition,1 day,No policy/leadership change. Counterprotesters gathered on the same day to call for Lee's arrest.,,,X,,,Tens of thousands,,,,,,South Korea
Italy,No Meloni Day protests,24-Nov,Free,Growing discontent with Prime Minister Giorgia Meloni's government and its policies.,Express anger over spending cuts for schools and universities. Criticize various government officials including Meloni and Giuseppe Valditara (the education minister). Some demonstrations also expressed anger over the government's stance regarding the conflict in Gaza.,>100,Students,1 day,No policy/leadership change. At least fifteen police officers were hospitalized after protesters launched a rudimentary bomb.,,,X,,,Hundreds,,,,,,Rome
Lithuania,Anti-Nemunas Dawn protest,24-Nov,Free,"The Social Democratic Party announced that it would form a coalition government with Nemunas Dawn and For Lithuania. The leader of Nemunas Dawn, Remigijus Žemaitaitis, is currently on trial for antisemitism.",Condemn Žemaitaitis for his antisemitism. Call for the Social Democrats to exclude Nemunas Dawn from the coalition government.,">1,000",General public,2 days (November 15 and 18),No policy/leadership change.,,,X,,,Thousands,,,,,,Vilnius
Georgia,Abkhazia-Russia investment deal protests,24-Nov,Partly Free,"The Abkhazian parliament had been considering the ratification of an investment deal with Russia to allow Russians to buy land and residences in Abkhazia. On November 11, five opposition activists were arrested.","Express concern that the deal will open the market to wealthy Russians and raise housing prices in the region; part of greater concern over growing Russian influence in Abkhazia. Call for the release of the arrested activists and for Aslan Bzhania, the leader of Abkhazia, to resign.",>100,"Abkhazian residents, opposition",1 week,"After protesters seized the parliament building,  Bzhania reached a negotiation with the opposition to scrap the property bill and resign from his position on November 19. On December 3, the Abkhazian parliament voted to reject the investment deal.",,X,,,,Hundreds,X,,,,,Tbilisi
Bangladesh,Anti–Awami League protest,24-Nov,Partly Free,"The Awami League, the political party of former prime minister Sheikh Hasina, planned to hold a rally on November 10. The day before the planned rally, Chief Adviser Press Secretary Shafiqul Alam announced that the Awami League would not be permitted to hold its demonstration.",Stop Awami League supporters from holding the rally. Condemn Hasina and her party. Demand that Hasina be tried for the deaths of protesters in July.,>100,"Anti-discrimination students' movement and supporters of various political parties (e.g., Bangladesh Nationalist Party, Jamaat-e-Islami, Gono Odhikar Parishad)",1 day,No policy/leadership change. The Awami League failed to hold its planned rally as a result of the counterprotests. Several of the party's supporters were attacked and arrested.,,,X,,,Hundreds,,,,,,Dhaka
Spain,Flood disaster response protest,24-Nov,Free,"On October 29, catastrophic floods struck eastern and central Spain (Valencia, Andalusia, Castile–La Mancha, and Catalonia). More than 200 people died, making it Spain's deadliest natural disaster in decades.","Express anger at both central and regional governments for their slow and disorganized responses to the disaster. In Valencia, protesters are also calling for the resignation of the regional president, Carlos Mazón.",">10,000",General public,1 month,"Mazón apologized for the mistakes in his government's flood response. However, he refused to resign from his position, choosing to reshuffle his cabinet instead. To assist the disaster relief efforts, the Spanish government sent 7,500 soldiers to severely impacted areas and issued a €10.6 billion aid package.",,,,,,Tens of thousands,X,,,,,Madrid
Bangladesh,Protest for new elections,24-Nov,Partly Free,The current interim government of Bangladesh has not yet announced a timeframe for the next elections. The Bangladesh Nationalist Party called for a rally in Dhaka.,Call for the government to develop a clear timeline for the next elections and to implement political reforms quickly.,">10,000",BNP supporters,1 day,"The government appointed a new election commission to oversee the electoral reforms. In December 2024, interim leader Muhammad Yunus announced that the next general elections would be held in late 2025 or early 2026, depending on how quickly the government would implement the full list of reforms.",,,X,,,Tens of thousands,X,,,,,Dhaka
Israel,Protest against dismissal of Yoav Gallant,24-Nov,Free,Prime Minister Benjamin Netanyahu dismissed Gallant from his position as defense minister on November 5.,"Criticize Gallant's dismissal, which protesters claim was a way for Netanyahu to maintain his hold on power. Call for the new defense minister to prioritize a hostage deal regarding the conflict in Gaza and for Netanyahu to resign.",">1,000",Opposition,1 day,No policy/leadership change.,,,X,,,Thousands,,,,,,Jerusalem
Serbia,Protest over train station roof collapse,24-Nov,Partly Free,"On November 1, a concrete roof above the entrance of a train station in Novi Sad collapsed, killing 15 people.","Express anger over government corruption, which protesters believe led to sloppy renovations in the train station and ultimately caused the roof collapse. Demand the arrests of those responsible for the incident. Call for the resignation of Prime Minister Miloš Vučević and his government.",">10,000","General public, opposition",Active,"Goran Vesić, the minister of construction, transportation, and infrastructure, resigned from his position on November 4, but did not accept responsibility for the collapse. Tomislav Momirović, the minister of internal and foreign trade, and Jelena Tanasković, the minister of agriculture, forestry and water management, also resigned following the incident. The Novi Sad Higher Public Prosecutor's Office launched an investigation and arrested eleven officials (including Vesić and Tanasković), though opposition politicians have expressed skepticism over the investigation.",X,,,X,,Tens of thousands,,,,,,Belgrade
South Korea,Political scandal protest,24-Nov,Free,"Political scandal involving first lady Kim Keon-hee, surrounding various allegations such as accepting political bribes and interfering in the candidate nominations for the People Power Party (PPP), the party of President Yoon Suk-yeol.","Call for a special counsel investigation into the allegations against Kim. Denounce the misuse of government authority by Kim and Yoon, as well as the PPP's alleged complicity in their actions. Demand Yoon's impeachment.",">10,000",Opposition,1 day,"No policy/leadership change. Yoon issued a formal apology for Kim's actions and agreed to appoint a special inspector general to investigate the allegations. However, he rejected an opposition-led bill to launch a special counsel investigation against Kim.",,,X,X,,Tens of thousands,,,,,,Seoul
Ecuador,Protest against electricity blackouts,24-Oct,Partly Free,Rolling blackouts occurring across the country since September 2024. Ongoing economic crisis and rising crime.,Express frustration over continued blackouts. Anger at President Daniel Noboa's government for its mismanagement of the electricity crisis and failure to adequately address problems regarding the economy and crime.,">1,000","General public, trade unions, students",1 week,"No policy/leadership change. Ten protesters were arrested and three police officers were injured. Though Noboa promised to end the blackouts by December 2024, the outages have continued.",,X,,,,Thousands,,,,,,Quito
Myanmar,Airbus protest,24-Oct,Not Free,Continued air strikes in northern and central regions of Myanmar.,"Call for Airbus, a European aerospace company, to end its investments in the Aviation Industry Corporation of China, a major weapons and aircraft supplier to Myanmar's military junta.",>10,General public,"2 days (October 29, November 5)",No policy/leadership change.,,,X,,,Tens,,,,,,Naypyidaw
Türkiye,Protest against removal of mayors,24-Oct,Not Free,"Ahmet Özer, the mayor of Istanbul's Esenyurt district and a member of the Republican People's Party (CHP), was arrested over an alleged connection to the Kurdistan Workers' Party (PKK), a banned Kurdish militant group. Istanbul's deputy governor replaced Özer as mayor. In November 2024, three more pro-Kurdish mayors across Türkiye were removed on terrorism charges.",Denounce the mayors' removal from office as an attack on the opposition and the Kurdish people. Call for the resignation of President Recep Tayyip Erdoğan’s government.,">1,000",Opposition,1 week,No policy/leadership change. The three mayors were replaced by government-appointed officials.,,,X,X,,Thousands,,,,,,Ankara
Mozambique,2024 general elections protest,24-Oct,Partly Free,"The opposition candidate, Venâncio Mondlane, called for a nationwide strike to dispute the provisional election results, which showed that the ruling party, Frelimo, was likely to win. Two days before the planned demonstration, two opposition figures were killed.","Protest the election results, which many believe were rigged by the ruling party. Protesters are angry at the continuation of Frelimo's forty-nine-year rule, which has been marked by corruption and economic decline. They are also angry over the death of the two opposition figures.",">1,000",Opposition,Active,"No policy/leadership change. In November 2024, the government imposed a ban on demonstrations and deployed the army to assist the police in quelling the protests. On December 23, 2024, the Constitutional Council upheld the results of the election, prompting another wave of protests. Over 200 people have been killed from the clashes between protestors and security forces.",X,,X,X,,Thousands,,,X,,,Maputo
Albania,Anti-Rama protests,24-Oct,Partly Free,"Lawmakers of the conservative Democratic Party of Albania have been protesting the imprisonment of their colleague, Ervin Salianji, on charges of slander. They were also protesting the arrest of former prime minister (and current Democratic Party leader) Sali Berisha.",Call for Prime Minister Edi Rama to step down and for the government to be replaced by a caretaker cabinet before the 2025 parliamentary election. The opposition has repeatedly accused Rama and the Socialist Party of Albania of corruption.,">1,000",Supporters of the Democratic Party,Active,"No policy/leadership change. Police used water guns and tear gas against protesters to keep them away from government buildings. In November 2024, Berisha was released from house arrest.",X,,X,X,,Thousands,,,,,,Tirana
Georgia,2024 election protests,24-Oct,Partly Free,"Results of the parliamentary elections on October 26, which gave the ruling Georgian Dream party more than 54 percent of the vote.","Denounce the election results, which many—both within and outside Georgia—believe were the result of a flawed electoral process. Call for a new parliamentary election with international supervision.",">10,000","Opposition, general public",Active,"No policy/leadership change. Three out of the four main opposition parties refused to accept the election results and announced that they would not take their seats in Parliament. The Central Election Commission reaffirmed the election results on October 31 after conducting a partial recount of the votes. On November 25, the newly elected Parliament opened its inaugural session. On December 30, Mikheil Kavelashvili was formally inaugurated as president despite ongoing protests.",X,,X,X,,Tens of thousands,,,,,,Tbilisi
South Korea,Christian protest against LGBTQ+ rights,24-Oct,Free,"In July, the South Korean Supreme Court upheld a ruling from the Seoul High Court that acknowledged the right for same-sex couples to receive spousal benefits from state health insurance.","Criticize the Supreme Court ruling, which protesters believe to be unconstitutional since same-sex marriage is not legal. Protesters are also opposed to the LGBTQ+ community and argue that anti-discriminatory laws will result in reverse discrimination.",">100,000",Christian groups,1 day,No policy/leadership change.,,,X,,,Hundreds of thousands,,X,,,,Seoul
Portugal,Police brutality protest,24-Oct,Free,"On October 21, police shot and killed Odair Moniz, a forty-three-year-old Black man. While the police initially claimed that Moniz had been holding a knife, Portuguese media later clarified that Moniz had not been holding a weapon.",Express anger over long-standing issues of police brutality and racism. Demand justice for Moniz.,">1,000",General public,5 days,"Counterprotesters, most of whom were supporters of the Chega party, demonstrated in defense of the police. On October 25, the officer who killed Moniz was indicted on murder charges.",,,,,,Thousands,X,,,,,Lisbon
Bangladesh,Protest for the resignation of President Shahabuddin,24-Oct,Partly Free,"On October 21, President Mohammed Shahabuddin revealed that he had not received a resignation letter from former prime minister Sheikh Hasina before she fled the country.","Express anger over Shahabuddin's statement, which contradicts his words in the past and threatens the legitimacy of the interim government. Accuse Shahabuddin of collaborating with Hasina's regime and demand that he resign from his position.",>100,Anti-Discrimination Student Movement (student protesters),1 day,No policy/leadership change.,,,X,,,Hundreds,,,,,,Dhaka
Colombia,Coal miners' strike,24-Oct,Free,"In January 2024, the government enacted a decree that allowed the Ministry of Environment to designate certain areas as natural resource reserve zones.","Oppose the decree, which demonstrators argue is an arbitrary measure that was taken without consultation from miners. Assert that the decree will harm the mining sector.",">10,000",Coal miners,5 days,"Demonstrators reached an agreement with the Ministry of Environment, which included commitments to advance the formalization of the mining sector and promote sustainable mining practices.",,X,,,,Tens of thousands,X,,,,,Bogotá
Spain,Anti-Sánchez protest,24-Oct,Free,"Plataforma por la España Constitucional, a group of around one hundred right-wing and far-right organizations, called for a demonstration in Madrid against Prime Minister Pedro Sánchez.","Demand that Sánchez resign and that the government hold early elections. Protesters are angry at the government for ""betraying"" citizens and failing to solve issues such as inflation and high rent costs.",">10,000","Opposition, right-wing and far-right organizations",1 day,No policy/leadership change.,,X,X,,,Tens of thousands,,,,,,Madrid
Iraq,Protest over arrested activists,24-Oct,Not Free,Recent widespread arrests of activists involved in the 2019 Iraqi protests.,"Call for the release of arrested activists and for the newly appointed police chief, Major General Najah Al-Abadi, to step down.",>100,Activists,2 days,No policy/leadership change.,,,X,,,Hundreds,,,,,,Baghdad
Bolivia,Protest against Morales' potential arrest,24-Oct,Partly Free,"A Bolivian prosecutor announced that she would issue an arrest warrant against former president Evo Morales, who is under investigation for alleged statutory rape and human trafficking.",Protest the potential arrest of Morales. Protesters have stated that they would maintain blockades on major roads if Morales is arrested.,>100,Supporters of Morales,Active,"No policy/leadership change. President Luis Arce called for the end of the highway blockades, which he claimed have cost the country over $1 billion USD. On November 2, the government accused Morales' supporters of seizing three military barracks amidst their ongoing demonstrations.",X,,X,,,Hundreds,,,,,,La Paz
Pakistan,Protest against ban on Pashtun Tahafuz Movement,24-Oct,Partly Free,"On October 6, the Pakistani government banned the Pashtun Tahafuz Movement (PTM), a social rights group for the Pashtun ethnic minority, on the grounds that the PTM's activities threatened the security of the country. The ban was imposed just days ahead of the Pashtun National Jirga (a traditional Pashtun assembly), which was scheduled for October 11.",Protest the government ban of the PTM.,>100,PTM supporters,1 day,"No policy/leadership change. At least three people were killed during the clashes between protesters and the police. Despite the ban, the PTM was able to hold the jirga from October 11–13.",,,X,,,Hundreds,,,X,,,Islamabad
Hungary,Media freedom protest,24-Oct,Partly Free,"The leader of the opposition Tisza Party, Péter Magyar, called for a protest at the headquarters of Hungary's state media corporation, Médiaszolgáltatás-támogató és Vagyonkezelő Alap (MTVA).","Demand the end of state propaganda and the restoration of free, unbiased public media. Call for MTVA to be dismantled and for the MTVA CEO, Dániel Papp, to be fired.",">1,000","Opposition, general public",1 day,No policy/leadership change.,,,X,X,,Thousands,,,,,,Budapest
Austria,Protest against Freedom Party,24-Oct,Free,Austria's far-right Freedom Party (FPÖ) won the general elections with 29 percent of the vote.,"Urge other political parties not to form a coalition government with the FPÖ, which protesters believe is a danger to Austria's democracy.",">10,000","Opposition, general public",1 day,"As political party agreed to form a coalition government with the FPÖ, President Alexander Van der Bellen initially asked incumbent Chancellor Karl Nehammer and his party, the conservative Austrian People's Party, to form a government. However, after coalition talks collapsed, Van der Bellen tasked Herbert Kickl, the leader of the FPÖ, with forming a coalition government.",,,X,,,Tens of thousands,,,,,,Vienna
Portugal,Housing crisis protest,24-Sept,Free,"Growing housing and rent prices caused by factors such as a shortage of affordable housing, the influx of wealthy foreigners seeking tax breaks, and a tourism boom.","Concern over unaffordable housing prices. While Prime Minister Luís Montenegro's government has announced a €2 billion package to build 33,000 homes by 2030, demonstrators are doubtful that the government will be able to deliver on its promises.",">1,000",General public,1 day,No policy/leadership change.,,X,,,,Thousands,,,,,,Lisbon
Pakistan,Protest against killing of blasphemy suspect,24-Oct,Partly Free,"The killing of Dr. Shahnawaz Kumbhar, who was in custody after being accused of blasphemy.",Condemn the killing of Kumbhar and demand a judicial inquiry into the situation. Call for the officers involved to be arrested and charged.,">1,000","Civil rights groups, including the Sindh Rawadari March Action Committee",3 weeks,"To prevent further demonstrations, the Karachi government imposed Section 144 of the Code of Criminal Procedure, which bans public assemblies for a limited period. At least one person was killed during a clash between counterprotesters and the police. On October 31, the Federal Investigation Agency filed a report to investigate the incident.",,,,,,Thousands,,,,,,Islamabad
Tunisia,Protest against election manipulation,24-Sept,Partly Free,"The electoral commission rejected a ruling by the Administrative Court that reinstated three prominent candidates for the October 6 presidential election. Weeks later, Parliament introduced a bill to take away the Administrative Court's jurisdiction over electoral disputes.",Denounce actions of both the electoral commission and Parliament. Protesters believe President Kais Saied (who appointed members of the election commission) is trying to rig the presidential elections. Call for the end of Saied's authoritarian rule and the reinstatement of free and fair elections.,">1,000","Opposition, general public",5 weeks,"No policy/leadership change. On September 27, the Parliament approved the bill removing the Administrative Court's election authority. Saied was re-elected to a second term, winning over ninety percent of the vote.",,,X,,,Thousands,,,,,,Tunis
Democratic Republic of the Congo,Protest for release of political prisoners,24-Sept,Not Free,"Arrest of Seth Kikuni, one of three key opposition figures to be imprisoned in the DRC. The DRC also applied to be a member of the UN Human Rights Council in August 2024.","Call for the release of political prisoners, including three opposition figures (Kikuni, Jean-Marc Kabund, and Mike Mukebayi). Also call on the UN to reject the DRC's candidacy for the Human Rights Council.",>100,Opposition,1 day,No policy/leadership change.,,,X,,,Hundreds,,,,,,Kinshasa
Peru,Strike against extortion,24-Sept,Partly Free,"Rising number of deaths in attacks against transportation workers, construction workers, and business owners connected to extortion from gangs.",Express anger over the government's indifference to the gang attacks and the government's inaction against growing crime.,">1,000","Bus drivers. Later, construction workers, transportation workers, and other trade unions also joined.",Active,The government declared a sixty-day state of emergency in twelve districts around Lima and dispatched armed forces to address the gang crimes.,X,,,,,Thousands,X,,,,,Lima
India,Black Day labor protest,24-Sept,Partly Free,"In July 2024, the Union Ministry of Labour & Employment began efforts to implement four labor codes, which had been passed by Parliament in 2020. The labor codes condense forty-four preexisting labor laws.",Demand the repeal of the labor codes and the restoration of the original labor laws. Protesters are angry because they believe the government is acting in the interest of corporations and ignoring workers' rights.,">1,000",Labor unions,1 day,No policy/leadership change.,,X,,,,Thousands,,,,,,New Delhi
