Entity,Code,Year,Petroleum,Wheat,Corn
World,OWID_WRL,2009,427.57678,25.992855,34.718575
World,OWID_WRL,2010,541.9357,31.586346,38.369263
World,OWID_WRL,2011,628.7368,38.11759,58.356995
World,OWID_WRL,2012,610.19965,38.58029,58.494823
World,OWID_WRL,2013,625.55835,35.6247,50.110718
World,OWID_WRL,2014,585.2143,31.062902,36.6674
World,OWID_WRL,2015,305.77533,26.112371,32.231857
World,OWID_WRL,2016,267.73514,22.029417,29.844679
World,OWID_WRL,2017,309.00616,21.799767,28.372189
World,OWID_WRL,2018,384.07977,24.350302,29.466997
World,OWID_WRL,2019,331.791,24.783197,29.938133
World,OWID_WRL,2020,225.98163,26.388796,28.772692
World,OWID_WRL,1850,,98.04873,98.80269
World,OWID_WRL,1851,,70.05146,98.94129
World,OWID_WRL,1852,,68.53606,106.76517
World,OWID_WRL,1853,,111.94649,109.23692
World,OWID_WRL,1854,,152.59901,118.17668
World,OWID_WRL,1855,,178.45721,135.84279
World,OWID_WRL,1856,,144.35626,97.08021
World,OWID_WRL,1857,,123.676506,106.94396
World,OWID_WRL,1858,,93.491196,110.74633
World,OWID_WRL,1859,,125.29902,124.31231
